Day,Month,Year,MAX,MIN,AVG,WTR,AVGSPD,MAXSPD,PollenCnt
5,4,2023,77.0,52.0,65.0,0.2,15.5,29.0,873
6,4,2023,59.0,49.0,54.0,0.0,13.1,28.0,473
7,4,2023,63.0,53.0,58.0,0.0,9.5,15.0,430
8,4,2023,74.0,55.0,65.0,0.0,5.1,16.0,304
9,4,2023,73.0,54.0,64.0,0.0,2.9,16.0,245
19,4,2023,76.0,55.0,66.0,0.0,6.7,14.0,129
11,4,2023,77.0,53.0,65.0,0.0,5.0,15.0,210
12,4,2023,79.0,54.0,67.0,0.0,7.1,17.0,80
13,4,2023,80.0,54.0,67.0,0.0,8.9,17.0,152
14,4,2023,81.0,68.0,71.0,0.2,17.0,28.0,370
15,4,2023,81.0,58.0,70.0,0.0,17.3,29.0,265
16,4,2023,74.0,50.0,62.0,0.0,9.2,20.0,280
17,4,2023,82.0,49.0,66.0,0.0,11.6,25.0,164
18,4,2023,76.0,61.0,69.0,0.0,16.6,28.0,208
19,4,2023,85.0,66.0,76.0,0.2,29.3,31.0,129
20,4,2023,85.0,62.0,74.0,0.94,14.3,30.0,266
21,4,2023,77.0,56.0,67.0,0.0,9.7,23.0,288
22,4,2023,73.0,52.0,63.0,0.2,9.8,25.0,186
23,4,2023,59.0,47.0,53.0,0.1,10.1,22.0,72
24,4,2023,70.0,45.0,58.0,0.2,8.2,16.0,61
25,4,2023,73.0,59.0,66.0,0.01,9.7,18.0,216
26,4,2023,64.0,55.0,68.0,1.41,10.2,32.0,92
27,4,2023,69.0,55.0,62.0,0.2,10.4,22.0,57
28,4,2023,72.0,49.0,61.0,0.06,12.6,29.0,165
29,4,2023,73.0,53.0,63.0,0.0,17.3,29.0,124
30,4,2023,83.0,49.0,66.0,0.0,9.6,16.0,90
1,5,2023,78.0,53.0,66.0,0.0,6.6,13.0,239
2,5,2023,83.0,53.0,68.0,0.0,5.5,13.0,150
3,5,2023,83.0,64.0,74.0,0.0,7.6,15.0,149
4,5,2023,85.0,63.0,74.0,0.2,11.0,22.0,215
5,5,2023,96.0,69.0,83.0,0.0,12.6,25.0,55
6,5,2023,88.0,68.0,78.0,0.19,14.1,35.0,105
7,5,2023,88.0,68.0,78.0,0.01,14.7,24.0,88
8,5,2023,90.0,70.0,89.0,0.19,11.5,24.0,61
9,5,2023,85.0,69.0,77.0,0.0,10.6,22.0,41
10,5,2023,75.0,66.0,71.0,0.32,4.6,12.0,14
11,5,2023,88.0,65.0,77.0,0.01,10.5,22.0,51
12,5,2023,91.0,76.0,84.0,0.0,14.8,26.0,56
13,5,2023,85.0,69.0,77.0,0.2,7.7,21.0,33
14,5,2023,75.0,69.0,72.0,0.44,5.1,28.0,2176
15,5,2023,87.0,68.0,78.0,0.2,6.9,21.0,14
16,5,2023,80.0,67.0,74.0,0.0,8.6,17.0,58
17,5,2023,84.0,61.0,73.0,0.0,5.6,14.0,100
18,5,2023,88.0,64.0,76.0,0.0,6.6,15.0,46
19,5,2023,93.0,71.0,82.0,0.94,9.2,20.0,38
29,5,2023,78.0,63.0,71.0,0.0,12.6,25.0,13
21,5,2023,76.0,61.0,69.0,0.0,4.6,10.0,115
22,5,2023,84.0,61.0,73.0,0.0,4.5,12.0,24
23,5,2023,85.0,68.0,77.0,0.0,8.7,15.0,52
24,5,2023,87.0,67.0,77.0,0.1,7.6,22.0,46
25,5,2023,85.0,67.0,76.0,0.0,5.7,13.0,43
26,5,2023,87.0,68.0,78.0,0.0,6.5,16.0,59
27,5,2023,86.0,69.0,78.0,0.0,6.6,13.0,21
28,5,2023,87.0,67.0,77.0,0.16,7.2,23.0,24
29,5,2023,90.0,68.0,79.0,0.0,7.9,26.0,13
31,5,2023,90.0,66.0,78.0,0.0,5.8,16.0,0
1,6,2023,89.0,71.0,80.0,0.0,7.6,18.0,36
2,6,2023,92.0,70.0,81.0,0.0,8.9,29.0,29
3,6,2023,93.0,67.0,80.0,0.0,6.6,28.0,35
4,6,2023,88.0,66.0,77.0,0.0,7.2,17.0,9
5,6,2023,87.0,67.0,77.0,0.2,7.0,25.0,19
6,6,2023,90.0,69.0,80.0,0.2,4.7,22.0,30
7,6,2023,92.0,69.0,81.0,0.2,4.4,21.0,10
8,6,2023,92.0,69.0,81.0,0.0,5.9,25.0,3
9,6,2023,97.0,70.0,84.0,0.0,5.8,15.0,10
10,6,2023,94.0,74.0,84.0,0.0,11.7,18.0,21
11,6,2023,99.0,71.0,85.0,0.08,7.5,24.0,17
12,6,2023,87.0,69.0,78.0,0.2,10.4,26.0,7
13,6,2023,79.0,69.0,74.0,0.55,7.5,16.0,13
14,6,2023,91.0,74.0,83.0,0.0,5.8,14.0,10
15,6,2023,93.0,75.0,84.0,0.0,9.7,24.0,42
16,6,2023,97.0,72.0,85.0,0.0,11.3,24.0,31
17,6,2023,96.0,74.0,85.0,0.0,9.3,22.0,89
18,6,2023,94.0,75.0,85.0,0.0,6.9,23.0,22
19,6,2023,99.0,74.0,87.0,0.0,10.1,18.0,24
20,6,2023,98.0,81.0,90.0,0.0,10.5,17.0,15
21,6,2023,92.0,79.0,86.0,0.14,10.0,23.0,6
22,6,2023,90.0,78.0,84.0,0.01,8.4,16.0,11
23,6,2023,93.0,77.0,85.0,0.2,8.7,26.0,22
24,6,2023,99.0,75.0,87.0,0.0,13.6,24.0,12
25,6,2023,101.0,81.0,91.0,0.0,9.0,21.0,14
26,6,2023,101.0,82.0,92.0,0.0,11.9,22.0,11
27,6,2023,102.0,80.0,91.0,0.0,12.9,22.0,2
28,6,2023,101.0,79.0,90.0,0.0,13.8,21.0,2
29,6,2023,101.0,80.0,91.0,0.0,12.8,21.0,13
30,6,2023,98.0,82.0,89.0,0.0,13.7,21.0,17
1,7,2023,89.0,78.0,84.0,0.0,9.5,21.0,9
2,7,2023,92.0,73.0,83.0,0.0,7.4,21.0,4
3,7,2023,100.0,75.0,88.0,0.0,11.0,25.0,4
4,7,2023,99.0,74.0,87.0,0.0,10.9,20.0,1
5,7,2023,98.0,80.0,89.0,0.0,11.5,21.0,2
6,7,2023,97.0,80.0,89.0,0.0,9.2,20.0,13
7,7,2023,96.0,78.0,87.0,0.0,13.4,23.0,7
8,7,2023,98.0,79.0,89.0,0.2,10.5,22.0,7
9,7,2023,90.0,74.0,82.0,0.12,9.3,28.0,4
10,7,2023,98.0,78.0,88.0,0.0,8.3,17.0,12
11,7,2023,97.0,77.0,87.0,0.03,11.3,26.0,6
12,7,2023,105.0,82.0,94.0,0.0,14.4,23.0,4
13,7,2023,104.0,81.0,93.0,0.2,15.0,25.0,2
14,7,2023,103.0,84.0,94.0,0.0,13.8,23.0,7
15,7,2023,101.0,83.0,92.0,0.0,11.1,22.0,7
16,7,2023,88.0,74.0,81.0,0.32,8.5,25.0,21
17,7,2023,106.0,74.0,90.0,0.0,9.3,18.0,2
18,7,2023,108.0,82.0,95.0,0.0,15.3,24.0,0
19,7,2023,105.0,83.0,94.0,0.0,14.5,21.0,6
20,7,2023,104.0,83.0,94.0,0.0,10.7,20.0,2
21,7,2023,103.0,82.0,93.0,0.0,9.8,21.0,2
22,7,2023,93.0,77.0,85.0,0.0,10.8,17.0,7
23,7,2023,98.0,73.0,86.0,0.0,4.5,14.0,1
24,7,2023,102.0,76.0,89.0,0.0,8.5,16.0,0
25,7,2023,104.0,78.0,91.0,0.0,10.5,20.0,2
26,7,2023,102.0,81.0,92.0,0.0,12.7,21.0,4
27,7,2023,101.0,82.0,92.0,0.0,11.6,18.0,2
28,7,2023,102.0,81.0,92.0,0.0,10.7,20.0,5
29,7,2023,103.0,80.0,92.0,0.0,7.6,14.0,0
30,7,2023,104.0,79.0,92.0,0.0,6.3,15.0,2
31,7,2023,105.0,80.0,93.0,0.0,7.9,16.0,6
1,8,2023,107.0,81.0,94.0,0.0,7.5,18.0,0
2,8,2023,106.0,83.0,95.0,0.0,10.7,20.0,0
3,8,2023,105.0,85.0,95.0,0.0,12.7,20.0,9
4,8,2023,105.0,85.0,95.0,0.0,11.3,21.0,0
5,8,2023,107.0,85.0,96.0,0.0,10.8,20.0,0
6,8,2023,104.0,85.0,95.0,0.0,10.1,21.0,0
7,8,2023,104.0,86.0,95.0,0.0,9.7,24.0,12
8,8,2023,103.0,86.0,95.0,0.2,14.1,23.0,0
9,8,2023,107.0,83.0,95.0,0.0,17.1,26.0,8
10,8,2023,107.0,85.0,96.0,0.0,10.8,24.0,2
11,8,2023,107.0,84.0,96.0,0.0,15.4,24.0,2
12,8,2023,106.0,83.0,95.0,0.0,14.9,25.0,0
13,8,2023,106.0,84.0,95.0,0.0,13.7,24.0,2
14,8,2023,99.0,80.0,90.0,0.0,12.9,24.0,1
15,8,2023,94.0,74.0,84.0,0.0,9.7,18.0,71
16,8,2023,97.0,71.0,84.0,0.0,5.6,14.0,12
17,8,2023,109.0,74.0,92.0,0.0,9.1,16.0,6
18,8,2023,109.0,82.0,96.0,0.0,9.0,15.0,5
19,8,2023,108.0,85.0,97.0,0.0,8.6,18.0,2
20,8,2023,109.0,83.0,0.0,0.0,7.6,18.0,44
21,8,2023,106.0,82.0,96.0,0.0,9.0,20.0,6
22,8,2023,103.0,82.0,94.0,0.0,8.9,17.0,2
23,8,2023,103.0,83.0,93.0,0.0,6.5,15.0,4
24,8,2023,107.0,84.0,93.0,0.0,5.6,14.0,0
25,8,2023,107.0,85.0,96.0,0.0,5.4,14.0,2
26,8,2023,110.0,85.0,98.0,0.0,6.0,17.0,2
27,8,2023,110.0,78.0,98.0,0.2,10.7,30.0,44
28,8,2023,101.0,78.0,90.0,0.0,12.0,22.0,89
29,8,2023,95.0,75.0,87.0,0.0,7.5,18.0,116
20,8,2023,98.0,77.0,87.0,0.0,9.0,22.0,44
31,8,2023,98.0,75.0,88.0,0.0,5.8,16.0,97
1,9,2023,98.0,77.0,88.0,0.0,9.3,18.0,32
2,9,2023,98.0,71.0,85.0,0.0,4.8,12.0,11
3,9,2023,100.0,77.0,89.0,0.2,8.1,30.0,21
4,9,2023,100.0,77.0,89.0,0.0,12.0,21.0,5
5,9,2023,104.0,81.0,93.0,0.0,13.2,21.0,11
6,9,2023,105.0,83.0,94.0,0.0,6.5,16.0,6
7,9,2023,107.0,81.0,94.0,0.0,5.7,14.0,57
8,9,2023,110.0,78.0,94.0,0.03,11.6,41.0,107
9,9,2023,97.0,77.0,87.0,0.0,9.6,10.0,67
10,9,2023,94.0,71.0,83.0,0.0,7.2,14.0,30
11,9,2023,91.0,71.0,81.0,0.02,9.0,28.0,72
12,9,2023,84.0,71.0,78.0,0.2,10.6,18.0,18
13,9,2023,84.0,70.0,77.0,0.03,5.9,12.0,26
14,9,2023,76.0,70.0,73.0,0.03,7.6,14.0,6
15,9,2023,84.0,70.0,77.0,0.2,5.6,16.0,27
16,9,2023,88.0,69.0,79.0,0.0,3.2,12.0,31
17,9,2023,91.0,69.0,80.0,0.0,4.5,13.0,274
18,9,2023,94.0,66.0,80.0,0.0,7.0,15.0,628
19,9,2023,96.0,70.0,83.0,0.29,16.0,36.0,4649
20,9,2023,94.0,71.0,83.0,0.0,13.8,23.0,2547
21,9,2023,96.0,76.0,86.0,0.0,11.6,21.0,1672
22,9,2023,98.0,79.0,89.0,0.0,12.2,21.0,137
23,9,2023,101.0,79.0,90.0,0.0,13.2,24.0,462
24,9,2023,102.0,75.0,89.0,0.23,11.5,23.0,606
25,9,2023,92.0,72.0,82.0,0.0,7.5,16.0,331
26,9,2023,96.0,72.0,84.0,0.0,5.3,12.0,324
27,9,2023,96.0,71.0,84.0,0.0,4.9,12.0,332
28,9,2023,97.0,72.0,85.0,0.0,6.2,16.0,201
29,9,2023,96.0,73.0,85.0,0.0,9.6,17.0,345
30,9,2023,94.0,73.0,84.0,0.0,8.7,16.0,347
1,10,2023,93.0,69.0,81.0,0.0,5.0,14.0,170
2,10,2023,92.0,71.0,82.0,0.0,6.4,17.0,152
3,10,2023,92.0,71.0,82.0,0.0,10.3,21.0,336
4,10,2023,96.0,79.0,83.0,0.94,13.8,35.0,185
5,10,2023,85.0,70.0,78.0,0.1,8.7,17.0,79
6,10,2023,87.0,64.0,76.0,0.0,10.3,24.0,123
7,10,2023,72.0,57.0,65.0,0.0,9.7,25.0,76
8,10,2023,86.0,52.0,66.0,0.0,6.2,14.0,44
9,10,2023,89.0,58.0,74.0,0.0,10.7,18.0,142
10,10,2023,85.0,62.0,74.0,0.0,11.8,29.0,139
11,10,2023,76.0,65.0,71.0,0.0,13.8,24.0,762
12,10,2023,81.0,64.0,73.0,0.0,16.0,24.0,350
13,10,2023,79.0,64.0,72.0,0.0,15.0,26.0,774
14,10,2023,72.0,54.0,63.0,0.0,14.2,22.0,272
15,10,2023,68.0,51.0,60.0,0.0,13.8,25.0,137
16,10,2023,67.0,48.0,58.0,0.0,9.3,19.0,56
17,10,2023,74.0,44.0,59.0,0.0,4.8,13.0,52
18,10,2023,82.0,55.0,69.0,0.0,12.4,26.0,200
19,10,2023,87.0,56.0,72.0,0.0,7.2,16.0,197
20,10,2023,93.0,57.0,75.0,0.0,5.9,12.0,124
21,10,2023,91.0,59.0,75.0,0.0,6.6,16.0,109
22,10,2023,85.0,64.0,75.0,0.0,8.8,18.0,192
23,10,2023,82.0,69.0,76.0,0.65,11.2,28.0,72
24,10,2023,74.0,72.0,73.0,1.08,10.0,18.0,26
25,10,2023,89.0,68.0,74.0,2.54,11.1,21.0,52
26,10,2023,83.0,68.0,76.0,1.54,10.6,22.0,14
27,10,2023,88.0,62.0,75.0,0.06,13.1,25.0,25
28,10,2023,62.0,55.0,59.0,1.87,9.5,16.0,9
29,10,2023,55.0,48.0,48.0,0.24,18.1,25.0,2
30,10,2023,58.0,38.0,44.0,0.61,17.7,28.0,1
31,10,2023,62.0,34.0,48.0,0.0,19.9,21.0,14
1,11,2023,56.0,33.0,45.0,0.0,5.5,14.0,7
2,11,2023,64.0,36.0,50.0,0.0,7.9,15.0,4
3,11,2023,72.0,44.0,58.0,0.0,11.0,23.0,6
4,11,2023,74.0,51.0,63.0,0.0,9.3,20.0,24
5,11,2023,81.0,58.0,70.0,0.0,10.1,21.0,18
6,11,2023,83.0,65.0,74.0,0.0,16.3,25.0,50
7,11,2023,85.0,64.0,75.0,0.0,14.4,24.0,13
8,11,2023,86.0,68.0,77.0,0.0,14.8,22.0,63
9,11,2023,73.0,52.0,63.0,0.24,13.2,25.0,34
10,11,2023,61.0,51.0,56.0,0.2,10.2,17.0,4
11,11,2023,66.0,53.0,60.0,0.0,6.5,12.0,6
12,11,2023,65.0,51.0,58.0,0.0,2.7,9.0,3
13,11,2023,66.0,50.0,58.0,0.0,6.1,14.0,2
14,11,2023,70.0,51.0,61.0,0.0,3.3,8.0,6
15,11,2023,73.0,58.0,62.0,0.0,2.8,8.0,8
16,11,2023,61.0,52.0,57.0,0.2,9.1,16.0,1
17,11,2023,62.0,57.0,60.0,0.2,7.8,15.0,8
18,11,2023,71.0,53.0,62.0,0.0,5.4,13.0,17
19,11,2023,65.0,53.0,59.0,0.03,10.7,21.0,1
20,11,2023,76.0,54.0,65.0,0.2,16.5,29.0,10
21,11,2023,60.0,44.0,52.0,0.0,18.5,31.0,7
22,11,2023,63.0,39.0,51.0,0.0,8.3,18.0,6
23,11,2023,64.0,40.0,52.0,0.0,7.6,15.0,0
24,11,2023,64.0,40.0,52.0,0.0,3.5,8.0,14
25,11,2023,61.0,41.0,51.0,0.14,6.9,15.0,0
26,11,2023,52.0,35.0,44.0,0.2,14.8,29.0,2
27,11,2023,54.0,32.0,43.0,0.0,4.0,12.0,0
28,11,2023,63.0,38.0,51.0,0.0,6.1,14.0,0
29,11,2023,65.0,38.0,52.0,0.0,9.6,21.0,0
30,11,2023,63.0,54.0,59.0,0.06,8.4,14.0,0
1,12,2023,61.0,43.0,52.0,0.0,8.7,17.0,30
2,12,2023,66.0,39.0,53.0,0.2,5.0,15.0,2
3,12,2023,74.0,38.0,56.0,0.0,11.4,24.0,10
4,12,2023,64.0,42.0,53.0,0.0,5.7,14.0,27
5,12,2023,71.0,39.0,55.0,0.0,4.5,12.0,1
6,12,2023,66.0,41.0,54.0,0.0,6.3,13.0,6
7,12,2023,71.0,48.0,60.0,0.0,16.2,30.0,6
8,12,2023,80.0,60.0,70.0,0.0,16.0,28.0,0
9,12,2023,66.0,44.0,55.0,0.0,15.0,24.0,4
10,12,2023,53.0,35.0,44.0,0.0,9.5,17.0,1
11,12,2023,65.0,35.0,50.0,0.0,7.1,13.0,4
12,12,2023,65.0,40.0,53.0,0.0,7.0,15.0,2
13,12,2023,63.0,46.0,55.0,0.0,8.0,20.0,3
14,12,2023,63.0,42.0,53.0,0.0,8.7,17.0,0
15,12,2023,59.0,47.0,53.0,0.6,9.3,21.0,1
16,12,2023,59.0,42.0,51.0,0.0,10.4,20.0,2
17,12,2023,72.0,37.0,55.0,0.0,5.0,10.0,0
18,12,2023,63.0,44.0,54.0,0.0,9.0,20.0,0
19,12,2023,60.0,37.0,49.0,0.0,8.7,18.0,0
20,12,2023,67.0,44.0,56.0,0.0,9.7,16.0,0
21,12,2023,60.0,56.0,58.0,1.16,8.5,14.0,0
22,12,2023,68.0,56.0,62.0,0.07,7.3,14.0,3
23,12,2023,65.0,60.0,63.0,0.19,9.9,20.0,11
24,12,2023,66.0,47.0,57.0,1.53,13.8,20.0,13
25,12,2023,51.0,37.0,44.0,0.0,14.4,29.0,15
26,12,2023,56.0,31.0,44.0,0.0,10.2,26.0,35
27,12,2023,51.0,37.0,44.0,0.0,12.0,22.0,22
28,12,2023,50.0,35.0,43.0,0.0,10.4,23.0,0
29,12,2023,56.0,34.0,45.0,0.0,12.6,20.0,0
30,12,2023,66.0,33.0,50.0,0.0,5.9,13.0,1
31,12,2023,67.0,38.0,53.0,0.0,7.0,22.0,1100
