MNTH,Day,Year,MAX,MIN,AVG, DEP,HDD,CDD,WTR,SNW, DPTH,AVGSPD,MAXSPD,DIR, MIN,PSBL, S-S,WX,SPD ,DR
1,22,2021,52,45,49,3,16,e,0.2,e.e,e,6.5,13,49,M,M,18 12,17,5e,
1,23,2021,52,48,50,4,15,e e. BI,0.01,e.e,e,7.8,13,,M,M,18 12,17 13e,,
1,24,2021,63,51,57,11,8,e e.le,0.1,e.e,e,6.8,14,,M,M,19 12,19 Ile,,
1,25,2021,68,49,59,13,6,e e.e2,0.02,e.e,e,12.7,29,,M,M,4 13,38 31e,,
1,26,2021,56,37,47,e,18,e,0.2,e.e,e,11.3,24,,M,M,3,33 35e,,
1,27,2021,50,33,42,-5,23,e,0.2,e.e,e,11.9,23,,M,M,3,36 33e,,
1,28,2021,49,27,38,-9,27,e e.ee,0,e.a,e,5.5,12,48,M,M,7,14,3e,
1,29,2021,62,34,48,1,17,e e.ee,0,e.e,e 11.3 22 19e,11.3,22,,M,M,7,29 2ee,,
1,30,2021,75,54,65,18,e,e 9.11,0.11,e.e,e 19.6 49 26e,19.6,49,,M,M,6 1378,58 25e,,
1,31,2021,58,41,50,3,15,e e.ee,0,e.e,e 17.2 32 33e,17.2,32,,M,M,1,48 34e,,
2,1,2021,59,34,47,e,18,e e.ee,0,e.e,e,7,14,,M,M,3,19 33e,,
2,2,2021,64,39,52,5,13,e e.ee,0,e.e,e,8,16,,M,M,7,20 180,,
2,3,2021,72,39,56,8-Jan,9,e e.ee,0,e.e,e 14.9 28 190,14.9,28,,M,M,6,37 19e,,
2,4,2021,64,44,54,6,11,e e.ee,0,e.e,e 16.e 29 190,16,29,,M,M,5,40 19el,,
2,5,2021,58,37,48,e,17,e e.ee,0,e.e,e,6.1,13,,M,M,5,2e 14C,,
2,6,2021,59,38,49,,16,e e.ee,0,e.e,e 11.6 24 320,11.6,24,,M,M,7,32 31e,,
2,7,2021,57,35,46,-2,19,e e.ee,0,e.e,e,9.2,18,,M,M,4,26 16e,,
2,8,2021,67,39,53,5,12,e e.el,0,e.e,e 13.8 24 34e,13.8,24,,M,M,8 1,29 34e,,
2,9,2021,39,30,35,,30,e,2,e.e,e 12.4 18 35e,12.4,18,,M,M,le 1,22 330,,
2,10,2021,31,28,30,,35,e,2,e.e,e 13.7 21 36e,13.7,21,,M,M,le 16,25 35e,,
2,11,2021,29,24,27,,38,e,2,e.e,e 15.1 22 350,15.1,22,,M,M,le 16,27 35e,,
2,12,2021,26,21,24,,41,e,2,e.e,e 15.5 21 36a,15.5,21,,M,M,le 168,26 36e,,
2,13,2021,33,20,27,,38,e,2,e.e,e 15.4 22,15.4,22,le,M,M,9 16,32,,
2,14,2021,22,9,16,34,49,e e.14,0.14,4.e,18.3 25 34e,18.3,25,,M,M,le 12469,35,,
2,15,2021,14,4,9,,56,e e. e5,0.05,T,4 18.4 3e 34e,18.4,30,,M,M,5 8,36 33e:,,
2,16,2021,18,-2,8,42,57,e e. e2,0.02,T,3,6.8,16,,M,M,7 1,21 13e :,,
2,17,2021,27,18,23,,42,e e.16,0.16,I.e,4,9,15,,M,M,le 14568,19 35e,,
2,18,2021,31,22,27,,38,e e.ee,0,e.e,3 14.5 21 36a,14.5,21,,M,M,8,26 34e,,
2,19,2021,40,15,28,,37,e e.ee,0,e.e,3,6.5,14,,M,M,e,18 170,,
2,20,2021,56,22,39,,26,e e.ee,0,e.e,,10.7,22,,M,M,e 1,29 17e,,
2,21,2021,74,44,59,8,6,e e.ee,0,e.e,e 16.e 24 33e,16,24,,M,M,5,34 190.,,
2,22,2021,71,34,53,,12,e e.ee,0,e.e,e,7.1,20,,M,M,e,25 22e,,
2,23,2021,81,42,62,10,3,e e.ee,0,e.e,e 16.1 29 2ee,16.1,29,,M,M,1,37 19e,,
2,24,2021,72,51,62,le,3,e e.ee,0,e.e,e 13.8 25 190,13.8,25,,M,M,1,31 190,,
2,25,2021,53,45,49,-3,16,e e.69,0.69,e.e,e 11.3 24 33e,11.3,24,,M,M,8 13,29 33e,,
2,26,2021,57,46,52,-1,13,e I.e5,1.05,e.e,e 4.8 17,4.8,17,10,M,M,9 13,21,,
2,27,2021,71,50,61,8,4,e e. el,0.01,e.e,e,8.2,17,,M,M,le 128,24 180,49,
2,28,2021,77,51,64,11,,e e.e9,0.09,e.e,e 13.5 24 322,13.5,24,,M,M,le 13,33 31e,,
3,1,2021,59,43,51,-3,14,e e.19,0.19,e.e,e 11.e 24,11,24,M,M,8 3,34,2e,,
3,2,2021,63,39,51,-3,14,e e.ee,0,e.e,e,3.8,12,M,M,2,19,le,,
3,3,2021,70,36,53,,12,e e.ee,0,e.e,e,7.5,16,M,M,1,23 21e,,,
3,4,2021,74,46,60,5,5,e e.ee,0,e.e,e 11.6 23 15e,11.6,23,M,M,2,3e 17e,,,
3,5,2021,71,50,61,6,4,e e.ee,0,e.e,e 12.6 23,12.6,23,M,M,7,31,3%,,
3,6,2021,65,42,54,-1,11,e e.ee,0,e.e,e,7.9,14,M,M,1,3e,7e,,
3,7,2021,68,44,56,e,9,e e.ee,0,e.e,e,7.9,20,M,M,3,33 15e,,,
3,8,2021,71,43,57,,8,e e.ee,0,e.e,e le.9 22 19e,10.9,22,M,M,4,3e 18e,,,
3,9,2021,71,56,64,8,,e,2,e.e,e 18.0 29 19e,18,29,M,M,9,38 18e,,,
3,10,2021,76,62,69,13,e,4 e.ee,0,e.e,e 20.5 30 19e,20.5,30,M,M,9,38 17e,,,
3,11,2021,77,68,73,16,e,8 e.ee,0,e.e,e 17.2 31 19e,17.2,31,M,M,9,42 18e,,,
3,12,2021,79,67,73,16,e,8,2,e.e,e 14.5 25 18e,14.5,25,M,M,le,35 16e,,le,
3,13,2021,79,66,73,16,e,8,2,e.e,e 16.1 28 16e,16.1,28,M,M,9,37 15e,,6e,
3,14,2021,75,53,64,6-Jan,,e e.B7,0.07,e.e,e 11.4 36 ne,11.4,36,M,M,7,56 25e,,,
3,15,2021,80,48,64,6,,e e.ee,0,e.e,e,9.6,24,M,M,2,32 26e,,,
3,16,2021,83,57,70,12,e,5 e.ee,0,e.e,e 11.8 24 150,11.8,24,M,M,9,31 17e,,,
3,17,2021,71,46,59,e,6,e 1.24,1.24,e.e,e 18.6 40 26e,18.6,40,M,M,7 138,53 26e,,,
3,18,2021,61,43,52,,13,e e.ee,0,e.e,e 18.2 26 34e,18.2,26,M,M,3,36 32e,,,
3,19,2021,65,41,53,-6,12,e e.ee,0,e.e,e 11.3 20,11.3,20,M,M,1,27,"3e,",2e,
3,20,2021,68,42,55,-4,le,e e.ee,0,e.e,e,8,17,M,M,1,24 12e,,,
3,21,2021,70,43,57,,8,e e.ee,0,e.e,e 13.4 22 16e,13.4,22,M,M,4,33 15e,,,
3,22,2021,63,55,59,—l,6,e 1.13,1.13,e.e,e 14. e 29 13e,14,29,M,M,le 13,38 13e,,,
3,23,2021,75,48,62,2,3,e e.ee,0,e.e,e,9.7,22,M,M,1 8,31 26e,,,
3,24,2021,77,51,64,4,,e 0.17,0.17,e.e,e le.3 28 330,10.3,28,M,M,5 13,34 33e,,,
3,25,2021,68,52,69,—l,5,e e.43,0.43,e.e,e le. e 25 35e,10,25,M,M,6 13,32 36e,,,
3,26,2021,79,52,66,5,e,e.ee,0,e.e,e 10.4 23 15e,10.4,23,M,M,1,28 16e,,,
3,27,2021,81,62,72,11,e,7,2,e.e,e 12.6 29 35e,12.6,29,M,M,6 18,40 35e,,,
3,28,2021,71,54,63,1,2,e e.ee,0,e.e,e 12.4 25 36e,12.4,25,M,M,1,35 36e,,9e,
3,29,2021,79,52,66,4,e,1 e.ee,0,e.e,e 12.6 20 19e,12.6,20,M,M,1,33 2ee,,6e,
3,30,2021,79,59,69,7,e,4,2,e.e,e 14.4 25 2ee,14.4,25,M,M,7,35 21e,,,
3,31,2021,69,50,60,,5,e,2,e.e,e 18.2 3e,18.2,30,M,M,6,39,3e,,
4,1,2021,79,42,56,-6,9,e e.ee,0,e.e,e,3.9,12,58,M,M,2,18,,
4,2,2021,76,45,58,-4,7,e e.ee,0,e.e,e 19.2 22 149,19.2,22,,M,M,6,29 15e,6e,
4,3,2021,73,57,65,3,e,e e.ee,0,e.e,e 12.8 22 188,12.8,22,,M,M,8,29 18e,2e,
4,4,2021,75,69,68,5,e,3 e.ee,0,e.e,e 11.4 17 18e,11.4,17,,M,M,,22 18e,,
4,5,2021,79,56,68,5,e,3 e.ee,0,e.e,e 13.7 24 178,13.7,24,,M,M,2,33 16e,,
4,6,2021,83,65,74,11,e,9 e.ee,0,e.e,e 21.6 33 179,21.6,33,,M,M,7,44 17e,,
4,7,2021,80,60,70,7,e,5 e.ee,0,e.e,e 16.7 38 188,16.7,38,,M,M,5,43 18e,,
4,8,2021,85,49,67,3,e,2 e.ee,0,e.e,e,7.9,21,,M,M,4,27 18e,,
4,9,2021,86,62,74,19,e,9 e.ee,0,e.e,e 15.,15,49,,M,M,7 8,49 33e,le,
4,10,2021,74,52,63,-1,2,e e.ee,0,e.e,e 12.7 25 338,12.7,25,,M,M,,32 33e,7e,
4,11,2021,87,49,68,4,e,3 e.ee,0,e.e,e le.2 22 198,10.2,22,,M,M,,29 19e,,
4,12,2021,87,62,75,19,e,19 e.ee,0,e.e,e 11.1 23,11.1,23,le,M,M,7,29 36e,,
4,13,2021,89,56,68,3,e,3 e. 31,0.31,e.e,e 12.2 26 368,12.2,26,,M,M,7 13,35 369,,
4,14,2021,74,57,66,,e,1 e.el,0.01,e.e,e 12.7 23,12.7,23,le,M,M,9 3,3e,,
4,15,2021,62,56,59,-6,6,e e.56,0.56,e.e,e le.3 23,10.3,23,6e,M,M,19 13,29,,
4,16,2021,61,52,57,-9,8,e e. 84,0.84,e.e,e,9.8,26,,M,M,19 13,34 359,,
4,17,2021,62,48,55,,18,e e.ee,0,e.e,e 14.8 22 358,14.8,22,,M,M,8,28 35e,,
4,18,2021,79,45,58,-8,7,e e.ee,0,e.e,e,8.8,21,,M,M,2,26 34e,,
4,19,2021,74,44,59,-7,6,e e.ee,0,e.e,e,7.4,15,,M,M,4,19 17e,,
4,20,2021,62,48,51,,14,e e.ee,0,e.e,e 14.2 24 35e,14.2,24,,M,M,,34 35e,,
4,21,2021,62,37,50,,15,e e.ee,0,e.e,M 4.8 14,4.8,14,10,M,M,5,19,,
4,22,2021,65,54,69,-7,5,e,2,e.e,e,8.9,20,,M,M,19,26 149,,
4,23,2021,72,58,65,-3,e,e e. 88,0.88,e.e,e 11.7 3e 35e,11.7,30,,M,M,19 13,37 369,,
4,24,2021,74,56,65,-3,e,e e.ee,0,e.e,e 18.5 22 338,18.5,22,,M,M,6,26 35e,3e,
4,25,2021,83,56,67,,e,2 e.ee,0,e.e,e 19.7 21 168,19.7,21,,M,M,2,27 16e,3e,
4,26,2021,83,64,74,6,e,9 e.ee,0,e.e,e 18.1 28 168,18.1,28,,M,M,8,37 17e,8e,
4,27,2021,76,69,73,4,e,8,2,e.e,e 17.3 25 158,17.3,25,,M,M,19,35 15e,,
4,28,2021,82,72,77,8,e,12 e. 19,0.19,e.e,e,9,23,,M,M,18 13,32 16e,,
4,29,2021,72,65,69,e,e,4 1.41,1.41,e.e,e 11.8 24 358,11.8,24,,M,M,19 13,31 35e,,
4,30,2021,68,61,65,,e,e e.3e,0.3,e.e,e le.l 18,10.1,18,8e,M,M,le,26,,
5,1,2021,74,63,69,e,e,4 e.e2,0.02,e.e,e,7.5,17,50,M,M,le 1,21,,
5,2,2021,82,65,74,4,e,9 e. 04,0.04,e.e,e,9.4,17,17e,M,M,6,24 16e,,
5,3,2021,92,69,81,11,e,16 e.e7,0.07,e.e,e 13.6 23,13.6,23,30,M,M,5 3,3e 2ee,,
5,4,2021,77,55,66,,e,1 e.ee,0,e.e,e 12.7 24,12.7,24,34e,M,M,6,33 35e,,
5,5,2021,77,52,65,-5,e,e e.ee,0,e.e,e,5,14,6e,M,M,2,1900%,,
5,6,2021,83,58,71,e,e,6 e.ee,0,e.e,e,5.5,16,ze,M,M,3,22,,
5,7,2021,87,59,73,2,e,8 e.ee,0,e.e,e Il.e 23,11,23,17a,M,M,3,32 18e,,
5,8,2021,90,64,77,6,e,12 e.ee,0,e.e,e 21.1 33,21.1,33,200,M,M,6,44 18e,,
5,9,2021,84,63,74,2,e,9 e.ee,0,e.e,e 17.e 31,17,31,2ee,M,M,6,44 17e,,
5,10,2021,63,57,60,,5,e e.88,0.88,e.e,e,11.5,21,31e,M,M,le 138,31 3ee,2e,
5,11,2021,62,57,60,,5,e e.81,0.81,e.e,e,10.7,23,2e,M,M,le 13,32 36e,,
5,12,2021,63,56,60,,5,e,2,e.e,e,10.3,17,e,M,M,le,22,5e,
5,13,2021,76,61,69,-4,e,4 e.ee,0,e.e,e,6,13,7e,M,M,6,17,4e,
5,14,2021,79,60,70,###############################################################################################################################################################################################################################################################,e,5 e.ee,0,e.e,e,10.4,18,15a,M,M,7,26 14e,,
5,15,2021,84,62,73,-1,e,8 e.ee,0,e.e,e,12.6,23,190,M,M,7,3e 19e,,
5,16,2021,77,68,73,,e,8 1.48,1.48,e.e,e,12.8,24,,M,M,9 13,31 18e,90,
5,17,2021,81,66,74,e,e,9 e. 61,0.61,e.e,e,10.1,29,,M,M,8 13,37 19e,,
5,18,2021,74,63,69,-6,e,4 e.61,0.61,e.e,e,7.5,24,,M,M,9 13,32 29e,,
5,19,2021,82,64,73,,e,8,2,e.e,e,6.5,17,,M,M,9,24 14e,le,
5,20,2021,79,67,73,,e,8 e. e2,0.02,e.e,e,5.8,13,,M,M,8,18 lee,7e,
5,21,2021,86,70,78,2,e,13,2,e.e,M,11.2,21,,M,M,8,27 14e,,
5,22,2021,79,70,75,-1,e,le e.43,0.43,e.e,e,11,20,,M,M,le 1,25 13e,,
5,23,2021,77,68,73,,e,8 e.e2,0.02,e.e,e,7.6,16,,M,M,le,21 14e,,
5,24,2021,78,68,73,-4,e,8 e.6e,0.6,e.e,e,8.8,20,,M,M,le 13,25 14e,,
5,25,2021,83,67,75,-2,e,le e.48,0.48,e.e,e,9.2,20,,M,M,8 13,29 23e,,
5,26,2021,91,73,82,5,e,17 e.ee,0,e.e,e,9.9,17,,M,M,7,24 19e,,
5,27,2021,91,74,83,5,e,18,2,e.e,e,16.2,33,3e,M,M,8 3,43,,
5,28,2021,80,67,74,-4,e,9,2,e.e,e,4.6,31,2e,M,M,8 3,39,,
5,29,2021,85,66,76,-2,e,11 e.ee,0,e.e,e,8.9,15,80,M,M,6,20,,
5,30,2021,76,65,71,,e,6 e.ee,2,e.e,e,9.9,16,,M,M,9,23 12e,,
5,31,2021,74,66,70,-9,e,5 1.7e,1.7,e.e,e,8.4,22,,M,M,le 13,26 3ee,39,
6,1,2021,72,64,68,,e,3 e. 05,0.05,e.e,e,8.3,18,,M,M,9,24 3ee,79,
6,2,2021,83,60,72,,e,7,2,e.e,e,5.1,12,3e,M,M,7,16 29e,,
6,3,2021,81,65,73,-7,e,8 e.ee,0,e.e,e,4.5,13,,M,M,7,17 2ee,,
6,4,2021,81,67,74,-6,e,9 e.ee,0,e.e,e,6.3,14,,M,M,8,20 Ile,,
6,5,2021,87,68,78,,e,13 e. 37,0.37,e.e,e,6.9,18,,M,M,9 13,23 33e,,
6,6,2021,88,67,78,,e,13 e.ee,0,e.e,e,6.5,17,,M,M,8,25 18e,,
6,7,2021,82,68,75,-5,e,le e.81,0.81,e.e,e,9,20,,M,M,8 13,29 15e,,
6,8,2021,89,73,81,e,e,16,2,e.e,e le.8 20 19e,10.8,20,,M,M,8 13,24 18e,,
6,9,2021,93,77,85,4,e,2e e.ee,0,e.e,e 12.3 20 19e,12.3,20,,M,M,5,25 2ee,,
6,10,2021,92,77,85,4,e,2e e.ee,0,e.e,e 12.1 18 18e,12.1,18,,M,M,4,3e 2ee,,
6,11,2021,94,77,86,5,e,21 e.ee,0,e.e,e 14.1 23 180,14.1,23,,M,M,3,31 2ee,,
6,12,2021,92,72,82,e,e,17,2,e.e,e,7.8,31,le,M,M,5 3,42,,
6,13,2021,99,76,88,6,e,23 e.ee,0,e.e,e,4.1,13,,M,M,6,2e 22e,,
6,14,2021,99,81,90,8-Jan,e,25 e.ee,0,e.e,e,6.4,16,3e,M,M,6,2e,,
6,15,2021,97,77,87,5,e,22 e.ee,0,e.e,e,3.7,14,4e,M,M,2,19,,
6,16,2021,98,76,87,5,e,22 e.ee,0,e.e,e,3.87,10,,M,M,,15 16e,,
6,17,2021,99,75,87,5,e,22 e.ee,0,e.e,e,5.8,13,,M,M,3,17 17e,69,
6,18,2021,95,78,87,5,e,22 e.ee,0,e.e,e,8.2,14,,M,M,4,22,19,
6,19,2021,94,71,83,e,e,18 e.ee,0,e.e,e,7.7,16,,M,M,,22 18e,59,
6,20,2021,96,77,87,4,e,22 e.ee,0,e.e,e 14.6 22 17e,14.6,22,,M,M,,28 18e,,
6,21,2021,93,69,81,,e,16 0.14,0.14,e.e,e,14,30,20,M,M,7 13,40,,
6,22,2021,86,66,76,,e,11 e.ee,0,e.e,e,9,15,,M,M,4,2e,,
6,23,2021,95,75,85,2,e,2e e.ee,0,e.e,e 12.7 20 17e,12.7,20,,M,M,5,29 18e,,
6,24,2021,95,78,87,4,e,22 e.ee,0,e.e,e 15.8 22 17e,15.8,22,,M,M,3,29 16e,,
6,25,2021,96,79,88,5,e,23 e.ee,0,e.e,e 16.4 25 16e,16.4,25,,M,M,3,35 18e,89,
6,26,2021,95,78,87,3,e,22 e.ee,0,e.e,e 16.4 25 18e,16.4,25,,M,M,6,35 18e,,
6,27,2021,95,78,87,3,e,22 e.ee,0,e.e,M Il.e 22 13e,11,22,,M,M,7,28 13e,,
6,28,2021,89,74,82,,e,17 e. 63,0.63,e.e,M,6.8,31,,M,M,8 123,37 12e,,
6,29,2021,90,74,82,,e,17 e.15,0.15,e.e,M,9.1,18,,M,M,8,26 18e,,
6,36,2021,91,74,83,,e,18 e.ee,0,e.e,M,5.4,9,,M,M,6,15 16e,,
6,31,2021,74,66,70,-9,e,5 1.7e,1.7,e.e,e,8.4,22,,M,M,le 13,26 3ee,,
7,1,2021,96,76,86,2,e,21 9.91,0.01,e.e,e,7.3,38,,M,M,6 38,48 369,,
7,2,2021,87,75,81,-3,e,16 9.16,0.16,e.e,e,5.3,13,49,M,M,8 13,16,,
7,3,2021,86,77,82,-2,e,17,2,e.e,e,8.4,17,59,M,M,8,26,,
7,4,2021,89,76,83,,e,18 e.ee,0,e.e,e,7.6,15,130,M,M,8,19 120,,
7,5,2021,90,74,82,,e,17,2,e.e,e,9.9,22,169,M,M,8,29 159,,
7,6,2021,93,73,83,,e,18 e. 33,0.33,e.e,e,5.4,21,129,M,M,5 3,28 119,,
7,7,2021,94,74,84,-1,e,19 e.ee,0,e.e,e,4.1,15,250,M,M,4 3,18 258,,
7,8,2021,94,76,85,e,e,2e e.ee,0,e.e,e,8.5,20,189,M,M,3,26 179,,
7,9,2021,87,74,81,-4,e,16,2,e.e,e 12.9 3e,12.9,30,149,M,M,6 1,38 149,,
7,10,2021,94,75,85,e,e,2e e.ee,0,e.a,e 13.7 26,13.7,26,2ee,M,M,6,36 238,,
7,11,2021,92,79,81,-4,e,16 e.49,0.49,e.e,e,9.2,29,219,M,M,3 13,35 219,,
7,12,2021,91,73,82,-3,e,17 e.ee,0,e.e,e,7.5,21,179,M,M,5,26 188,,
7,13,2021,93,72,83,-3,e,18 e.ee,0,e.e,e,10.5,23,189,M,M,2,3e 189,,
7,14,2021,92,71,82,,e,17 9.88,0.88,e.e,e 13.2 33,13.2,33,170,M,M,4 8,59 178,,
7,15,2021,93,75,84,-2,e,19 e.ee,0,e.e,e 14.9 22,14.9,22,299,M,M,6,31 178,,
7,16,2021,94,77,86,e,e,21 e.ee,0,e.e,e 12.8 21,12.8,21,199,M,M,7,27 199,,
7,17,2021,93,78,86,e,e,21 e.ee,0,e.e,e 12.8 2e,12.8,20,209,M,M,7,26 290,,
7,18,2021,95,79,87,,e,22 9.92,0.02,e.e,e,6.2,16,269,M,M,8,26 2ee,,
7,19,2021,86,74,80,-6,e,15 9.21,0.21,e.e,e,5.5,23,49,M,M,7 18,31,,
7,20,2021,90,74,82,-4,e,17 e.ee,0,e.e,e,8.8,26,59,M,M,5,25,,
7,21,2021,92,72,82,-4,e,17 e.ee,0,e.e,e,5.9,13,59,M,M,3,17,,
7,22,2021,95,73,84,-2,e,19 e.ee,0,e.e,e,7.7,17,169,M,M,3 8,22 188,,
7,23,2021,96,76,86,e,e,21 e.ee,0,e.e,e,13.9,21,199,M,M,4,31 199,,
7,24,2021,99,78,89,2,e,24 e.ee,0,e.e,e,19.9,20,216,M,M,,25 199,,
7,25,2021,100,77,89,2,e,24 e.ee,0,e.a,e,10,10,,M,M,1,22 158,,
7,26,2021,101,77,89,2,e,24 e.ee,0,e.e,e,7.2,14,,M,M,3,19 199,,
7,27,2021,102,81,92,5,e,27 e. 29,0.29,e.e,e,6.4,29,69,M,M,7 3,49,,
7,28,2021,99,79,89,2,e,24 e.ee,0,e.e,e,6.4,17,,M,M,7 3,22 119,,
7,29,2021,98,77,88,,e,23 e.ee,0,e.e,e,4.7,13,,M,M,4,18 110,,
7,30,2021,100,78,89,2,e,24 e.ee,0,e.e,e,5.8,16,,M,M,4,2e 188,,
7,31,2021,100,81,91,4,e,26 e.ee,0,e.e,e,8.4,17,,M,M,2,23 159,,
8,1,2021,100,75,88,,e,23 e. 31,0.31,e.e,e,8.3,37,M,M,6 13,54 16e,,,
8,2,2021,89,73,81,-6,e,16 1.71,1.71,e.e,e,9,22,M,M,9 138,27 35e,,,
8,3,2021,91,73,82,-5,e,17 e.ee,0,e.e,e,4.4,13,M,M,5 18,16,le,,
8,4,2021,90,75,83,,e,18 e.ee,0,e.e,e,5.4,13,M,M,6 8,16 14e,,,
8,5,2021,93,73,83,-4,e,18 e.ee,0,e.e,e,8.9,16,M,M,5 8,22 12e,,,
8,6,2021,94,74,84,-3,e,19 e.ee,0,e.e,e le.9 2e 14e,10.9,20,M,M,3,27 14e,,40,
8,7,2021,96,76,86,,e,21 e.ee,0,e.e,e 13.7 22 160,13.7,22,M,M,3,3e 1 se,,,
8,8,2021,97,79,88,,e,23 e.ee,0,e.e,e 17.5 26 17e,17.5,26,M,M,3,35 17e,,,
8,9,2021,98,79,89,2,e,24 e.ee,0,e.e,e 17.e 25 18e,17,25,M,M,2,35 2ee,,,
8,10,2021,97,78,88,,e,23 e.ee,0,e.e,e 16.3 25 2ee,16.3,25,M,M,3,33 19e,,,
8,11,2021,97,77,87,e,e,22 e.ee,0,e.e,e 15.e 23 19e,15,23,M,M,2,32 18e,,,
8,12,2021,98,79,89,2,e,24 e.ee,0,e.e,e 12.2 2e 19a,12.2,20,M,M,2,27 17e,,,
8,13,2021,95,79,87,,e,22 e.ee,0,e.e,e,7.6,15,M,M,7,21 18e,,40,
8,14,2021,91,71,81,###############################################################################################################################################################################################################################################################,e,16,1.01,e.e,e,6.5,45,M,M,8 123,56 339,,69,
8,15,2021,88,73,81,-5,e,16 e.le,0.1,e.e,e,4.8,12,M,M,7 1,14 149,,se,
8,16,2021,93,75,84,,e,19 e.ee,0,e.e,e,4.7,17,M,M,5,22,8e,5e,
8,17,2021,91,74,83,-3,e,18 e.14,0.14,e.e,e,8.4,25,M,M,9 13,32 32e,,,
8,18,2021,82,73,78,-8,e,13 1.33,1.33,e.e,e,7.6,18,M,M,9 13,28 15e,,,
8,19,2021,94,75,85,,e,2e e. 22,0.22,e.e,e 11.5 2e 15e,11.5,20,M,M,7 13,27 15e,,,
8,20,2021,96,78,87,,e,22 e.ee,0,e.e,e 13.9 23 17e,13.9,23,M,M,4,29 18e,,,
8,21,2021,96,78,87,2,e,22 e.ee,0,e.e,e 11.1 2e 2ee,11.1,20,M,M,3,26 14e,,,
8,22,2021,97,79,88,3,e,23 e.ee,0,e.e,e,9,15,M,M,1,21 189,,,
8,23,2021,97,75,86,,e,21 e.ee,0,e.e,e,8.8,16,M,M,,23 17e,,,
8,24,2021,97,76,87,2,e,22 e.ee,0,e.e,e,9.2,15,M,M,1,24 18e,,,
8,25,2021,98,75,87,3,e,22 e.ee,0,e.e,e,6.6,13,M,M,2 8,16 13e,,,
8,26,2021,98,80,89,5,e,24 e.ee,0,e.e,e,5.5,14,M,M,2,21 lee,,,
8,27,2021,92,76,84,e,e,19 e.ee,0,e.e,e,8.8,17,M,M,3,23 13e,,,
8,28,2021,93,75,84,e,e,19 e.ee,0,e.e,e,7.4,16,M,M,3,21 12e,,,
8,29,2021,90,76,83,-1,e,18 e.ee,0,e.e,e,5.2,16,M,M,7 3,20,6e,,
8,30,2021,96,76,86,3,e,21 e.ee,0,e.e,e,6.3,13,M,M,4,17,4e,,
8,31,2021,100,77,89,6,e,24 e.ee,0,e.e,e,6.4,13,M,M,3,16 18e,,,
9,1,2021,99,79,89,6,e,24 e.ee,0,e.e,e,8.2,16,,M,M,3,22 130,20,
9,2,2021,97,78,88,5,e,23 e.ee,0,e.e,e,9.3,17,,M,M,,23 17e,le,
9,3,2021,96,79,88,6,e,23 e.ee,0,e.e,e 11.1 16 17e,11.1,16,,M,M,6,22 18e,10,
9,4,2021,98,78,88,6,e,23 e.ee,0,e.e,e,9.1,16,,M,M,5,21 18e,,
