Date,Aceraceae (maple family),Betulaceae (birch family),Asteraceae (aster family),Arecaceae,Asteraceae (aster family),Asteraceae (aster family),Betulaceae (birch family),Betulaceae,Juglandaceae (walnut family),Ulmaceae,goosefoot/amaranth family,Betulaceae,"juniper family, cedar",sedge family,Asteraceae,Fagaceae (beech family),Oleaceae (olive family),Gramineae / Poaceae,Juglandaceae (walnut family),Oleaceae,Hamamelidaceae (witch-hazel family),Moraceae (mulberry family),Oleaceae (olive family),,,,Pinaceae (pine family),Plantaginaceae (plantain family),Platanaceae (plane-tree family),Salicaceae (willow family),Fabaceae,Fagaceae (beech family),Polygonaceae (buckwheat family),Salicaceae (willow family),Tiliaceae (linden family),Ulmaceae (elm family),,Urticaceae (nettle family),,Station Name,Station City,Station State,Station Postal Code,Station Country
2/26/2022,,,,,,,,,,,,,24,,,,,,,,,,,,,,2,,,,,,,,,11,,,869,North Texas Pollen Station,Flower Mound,TX,75022,US
2/27/2022,,,,,,,,,,,,,54,,,,,,,,,,,,,,,,,,,,,,,4,,,1102,North Texas Pollen Station,Flower Mound,TX,75022,US
1/1/2023,,,,,,,,,,,,,2801,,,,,,,,,,,,,,,,,,,,,,,,,,2477,North Texas Pollen Station,Flower Mound,TX,75022,US
1/27/2021,,,,,,,,,,,,,110,,,,,,,,,,,,,,,,,,,,,,,9,,,1223,North Texas Pollen Station,Flower Mound,TX,75022,US
3/19/2023,,,,,,,,,,4,,,5,,,,22,,,,,,,,,,4,,,2,,104,,,,,,,1826,North Texas Pollen Station,Flower Mound,TX,75022,US
5/30/2023,,,,,,,,,,,2,,,2,,,,4,,,,,,,,,,,,,,,,,,,,,1703,North Texas Pollen Station,Flower Mound,TX,75022,US
7/18/2021,,,,,,,,,,,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,2375,North Texas Pollen Station,Flower Mound,TX,75022,US
10/15/2023,,,54,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,80,,,2592,North Texas Pollen Station,Flower Mound,TX,75022,US
12/17/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2304,North Texas Pollen Station,Flower Mound,TX,75022,US
10/5/2022,,,63,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,61,,,1845,North Texas Pollen Station,Flower Mound,TX,75022,US
3/31/2022,2,,,,,,,,,4,,,32,,,,9,9,,,,,,,,,2,,2,,,93,,,,4,,,2338,North Texas Pollen Station,Flower Mound,TX,75022,US
7/27/2021,,,,,,,,,,,4,,,,,,,2,,,,,,,,,,,,,,,,,,,,,1584,North Texas Pollen Station,Flower Mound,TX,75022,US
11/24/2023,,,2,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,6,,,1785,North Texas Pollen Station,Flower Mound,TX,75022,US
9/16/2023,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,8519,North Texas Pollen Station,Flower Mound,TX,75022,US
1/3/2022,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,324,North Texas Pollen Station,Flower Mound,TX,75022,US
6/27/2023,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2786,North Texas Pollen Station,Flower Mound,TX,75022,US
7/30/2021,,,,,6,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1407,North Texas Pollen Station,Flower Mound,TX,75022,US
7/11/2022,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,1954,North Texas Pollen Station,Flower Mound,TX,75022,US
3/30/2021,17,,,,,,9,,,194,,,9,,,,140,32,,,6,246,,4,,,37,,35,,,1992,,26,,,,,2059,North Texas Pollen Station,Flower Mound,TX,75022,US
6/28/2021,,,,,2,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,1545,North Texas Pollen Station,Flower Mound,TX,75022,US
4/27/2021,,,,,,,,,28,,,,2,,,,13,65,,,,184,,2,,,2,,,,,26,2,,,,,,1841,North Texas Pollen Station,Flower Mound,TX,75022,US
10/21/2021,,,58,,,,,,,,,,184,,,,,4,,,,,,,,,,,,,,,,,,52,,,2598,North Texas Pollen Station,Flower Mound,TX,75022,US
7/6/2022,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,1830,North Texas Pollen Station,Flower Mound,TX,75022,US
5/18/2021,,,,,,,,,6,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,3959,North Texas Pollen Station,Flower Mound,TX,75022,US
3/16/2023,31,,,,,,,,,115,,,11,,,,104,15,,,13,45,,,,,22,,11,17,,944,,15,,,,,2453,North Texas Pollen Station,Flower Mound,TX,75022,US
1/21/2021,,,,,,,,,,,,,54,,,,,,,,,,,,,,,,,,,,,,,,,,1039,North Texas Pollen Station,Flower Mound,TX,75022,US
8/23/2023,,,1,,,,,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,1724,North Texas Pollen Station,Flower Mound,TX,75022,US
10/15/2022,,,89,,,,,,,,6,,2,,,,,9,,,,,,,,,,,,,,,,,,19,,,2767,North Texas Pollen Station,Flower Mound,TX,75022,US
10/28/2023,,,4,,,,,,,,,,4,,,,,1,,,,,,,,,,,,,,,,,,,,,3674,North Texas Pollen Station,Flower Mound,TX,75022,US
12/29/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1189,North Texas Pollen Station,Flower Mound,TX,75022,US
11/13/2021,,,4,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,3287,North Texas Pollen Station,Flower Mound,TX,75022,US
1/9/2021,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,1128,North Texas Pollen Station,Flower Mound,TX,75022,US
6/21/2022,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,1729,North Texas Pollen Station,Flower Mound,TX,75022,US
6/30/2021,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,2496,North Texas Pollen Station,Flower Mound,TX,75022,US
12/16/2022,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,2131,North Texas Pollen Station,Flower Mound,TX,75022,US
2/22/2021,,,,,,,,,,,,,63,,,,,2,,,,,,,,,,,,,,,,,,2,,,2064,North Texas Pollen Station,Flower Mound,TX,75022,US
5/23/2023,,,,,,,,,2,,,,,,,,,48,,,,,,,,,,,,,,,2,,,,,,2187,North Texas Pollen Station,Flower Mound,TX,75022,US
8/20/2022,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,2723,North Texas Pollen Station,Flower Mound,TX,75022,US
2/10/2021,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,659,North Texas Pollen Station,Flower Mound,TX,75022,US
12/27/2021,,,2,,,,,,,,,,2505,,,,,,,,,,,,,,,,,,,,,,,,,,1670,North Texas Pollen Station,Flower Mound,TX,75022,US
7/26/2023,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,1729,North Texas Pollen Station,Flower Mound,TX,75022,US
10/31/2023,,,9,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,1405,North Texas Pollen Station,Flower Mound,TX,75022,US
11/4/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1018,North Texas Pollen Station,Flower Mound,TX,75022,US
3/3/2021,,,,,,,,,,,,,389,,,,,,,,,,,,,,,,,,,,,,,65,,,1277,North Texas Pollen Station,Flower Mound,TX,75022,US
10/17/2023,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,1686,North Texas Pollen Station,Flower Mound,TX,75022,US
1/22/2021,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,817,North Texas Pollen Station,Flower Mound,TX,75022,US
5/19/2021,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,2835,North Texas Pollen Station,Flower Mound,TX,75022,US
5/15/2021,,,,,,,,,13,,,,,,,,,82,,,,,,,,,,,,,,,,,,,,,1178,North Texas Pollen Station,Flower Mound,TX,75022,US
7/16/2023,,,,,,,2,,,,2,,,,,,,10,,,,,,,,,7,,,,,,,,,,,,2550,North Texas Pollen Station,Flower Mound,TX,75022,US
10/17/2021,,,11,,,,,,,,,,4,,,,,2,,,,,,,,,,,,,,,,,,91,,,1338,North Texas Pollen Station,Flower Mound,TX,75022,US
9/12/2023,,,9,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3829,North Texas Pollen Station,Flower Mound,TX,75022,US
10/27/2021,,,30,,,,,,,,,,61,,,,,2,,,,,,,,,,,,,,,,,,6,,,2623,North Texas Pollen Station,Flower Mound,TX,75022,US
11/24/2021,,,4,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,1621,North Texas Pollen Station,Flower Mound,TX,75022,US
12/8/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,648,North Texas Pollen Station,Flower Mound,TX,75022,US
2/13/2022,,,,,,,,,,,,,24,,,,,,,,,,,,,,2,,,,,,,,,,,,2031,North Texas Pollen Station,Flower Mound,TX,75022,US
12/25/2021,,,,,,,,,,,,,3012,,,,,,,,,,,,,,,,,,,,,,,,,,1601,North Texas Pollen Station,Flower Mound,TX,75022,US
12/25/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216,North Texas Pollen Station,Flower Mound,TX,75022,US
4/26/2022,,,,,,,,,,13,,,,2,,,110,11,2,,,45,,,,,4,,30,,,272,4,,,,,,2330,North Texas Pollen Station,Flower Mound,TX,75022,US
2/18/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134,North Texas Pollen Station,Flower Mound,TX,75022,US
2/2/2023,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,216,North Texas Pollen Station,Flower Mound,TX,75022,US
3/21/2021,19,,,,,,9,,,207,,,19,,,,138,2,,,9,333,,2,,,223,,4,35,,672,,4,,2,,,1632,North Texas Pollen Station,Flower Mound,TX,75022,US
2/28/2022,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,45,,,1988,North Texas Pollen Station,Flower Mound,TX,75022,US
8/19/2023,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1387,North Texas Pollen Station,Flower Mound,TX,75022,US
11/2/2021,,,4,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,1511,North Texas Pollen Station,Flower Mound,TX,75022,US
4/12/2023,,,,,,,,,4,,,,,,,,1,3,1,,,,,,,,14,,14,,,39,4,,,,,,1642,North Texas Pollen Station,Flower Mound,TX,75022,US
7/21/2021,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,1902,North Texas Pollen Station,Flower Mound,TX,75022,US
6/24/2023,,,,,,,,,,,2,,,,,,,1,,,,,,,,,9,,,,,,,,,,,,2786,North Texas Pollen Station,Flower Mound,TX,75022,US
8/17/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3734,North Texas Pollen Station,Flower Mound,TX,75022,US
1/25/2023,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,648,North Texas Pollen Station,Flower Mound,TX,75022,US
5/2/2021,,,,,,,,,22,,,,,,,,,22,,,,24,,,,,2,,,,,,2,,,,,,2747,North Texas Pollen Station,Flower Mound,TX,75022,US
5/15/2023,,,,,,,,,,,2,,,,,,,12,,,,,,,,,,,,,,,,,,,,,3890,North Texas Pollen Station,Flower Mound,TX,75022,US
2/16/2021,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,2,,,439,North Texas Pollen Station,Flower Mound,TX,75022,US
5/18/2022,,,,,,,,,11,2,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,1513,North Texas Pollen Station,Flower Mound,TX,75022,US
7/8/2021,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,2548,North Texas Pollen Station,Flower Mound,TX,75022,US
9/22/2022,,,149,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,149,,,2368,North Texas Pollen Station,Flower Mound,TX,75022,US
3/14/2021,4,,,,,,4,,,24,,,84,,,,,2,,,4,,,2,,,344,,,117,,26,2,2,,2,,,1329,North Texas Pollen Station,Flower Mound,TX,75022,US
8/14/2021,,,2,,,,,,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,1642,North Texas Pollen Station,Flower Mound,TX,75022,US
7/20/2021,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,2592,North Texas Pollen Station,Flower Mound,TX,75022,US
1/31/2021,,,4,,,,,,,,,,125,,,,,,,,,,,,,,,,,,,,,,,9,,,1294,North Texas Pollen Station,Flower Mound,TX,75022,US
1/4/2021,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,931,North Texas Pollen Station,Flower Mound,TX,75022,US
9/20/2023,,,54,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2492,,,3239,North Texas Pollen Station,Flower Mound,TX,75022,US
7/25/2021,,,2,,,,,,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,1366,North Texas Pollen Station,Flower Mound,TX,75022,US
8/8/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1545,North Texas Pollen Station,Flower Mound,TX,75022,US
1/28/2021,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,975,North Texas Pollen Station,Flower Mound,TX,75022,US
1/14/2022,,,,,,,,,,,,,648,,,,,,,,,,,,,,,,,,,,,,,,,,1716,North Texas Pollen Station,Flower Mound,TX,75022,US
10/10/2021,,,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,,,4322,North Texas Pollen Station,Flower Mound,TX,75022,US
12/2/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1858,North Texas Pollen Station,Flower Mound,TX,75022,US
4/30/2022,,,,,,,,,39,69,,,,,,,,30,6,,,,,,,,,,11,,,48,2,,,,,,2269,North Texas Pollen Station,Flower Mound,TX,75022,US
5/24/2023,,,,,,,,,5,,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,2479,North Texas Pollen Station,Flower Mound,TX,75022,US
1/16/2023,,,,,,,,,,,,,205,,,,,,,,,,,,,,,,,,,,,,,4,,,2092,North Texas Pollen Station,Flower Mound,TX,75022,US
11/23/2021,,,2,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,1750,North Texas Pollen Station,Flower Mound,TX,75022,US
5/16/2021,,,,,,,,,9,,,,,,,,,32,,,,2,,,,,,,,,,,,,,,,,1087,North Texas Pollen Station,Flower Mound,TX,75022,US
11/16/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1078,North Texas Pollen Station,Flower Mound,TX,75022,US
7/11/2021,,,,,4,,,,,,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,1692,North Texas Pollen Station,Flower Mound,TX,75022,US
11/16/2021,,,2,,,,,,,,2,,22,,,,,4,,,,,,,,,,,,,,,,,,2,,,1798,North Texas Pollen Station,Flower Mound,TX,75022,US
3/11/2023,9,,,,,,,,,102,,,16,,,,72,15,,,23,289,,,,,15,,6,54,,550,,,,,,,2222,North Texas Pollen Station,Flower Mound,TX,75022,US
6/27/2022,,,,,,2,,,,,2,,,,,,,9,,,,,,,,,,,,,,,,,,,,,2600,North Texas Pollen Station,Flower Mound,TX,75022,US
7/16/2022,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,2116,North Texas Pollen Station,Flower Mound,TX,75022,US
6/1/2021,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,2,,,,,,3786,North Texas Pollen Station,Flower Mound,TX,75022,US
1/31/2023,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,16,,,1975,North Texas Pollen Station,Flower Mound,TX,75022,US
6/14/2022,,,,,,,,,,,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,1943,North Texas Pollen Station,Flower Mound,TX,75022,US
8/6/2021,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,5081,North Texas Pollen Station,Flower Mound,TX,75022,US
6/8/2021,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,3077,North Texas Pollen Station,Flower Mound,TX,75022,US
9/29/2023,,,271,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,73,,,6148,North Texas Pollen Station,Flower Mound,TX,75022,US
10/18/2022,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,1869,North Texas Pollen Station,Flower Mound,TX,75022,US
10/19/2023,,,155,,,,,,,,8,,2,,,,,,,,,,,,,,,,,,,,,,,32,,,2269,North Texas Pollen Station,Flower Mound,TX,75022,US
3/18/2023,,,,,,,,,,2,,,9,,,,14,4,,,2,,,,,,4,,2,2,,140,,,,,,,1478,North Texas Pollen Station,Flower Mound,TX,75022,US
11/1/2023,,,6,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1962,North Texas Pollen Station,Flower Mound,TX,75022,US
2/2/2022,,,,,,,,,,,,,223,,,,,,,,,,,,,,2,,,,,,,,,6,,,2161,North Texas Pollen Station,Flower Mound,TX,75022,US
12/4/2022,,,4,,,,,,,,,,13,,,,,2,,,,,,,,,,,,,,,,,,,,,2161,North Texas Pollen Station,Flower Mound,TX,75022,US
2/21/2022,,,,,,,,,,,,,1340,,,,,,,,,,,,,,9,,,,,,,,,123,,,4322,North Texas Pollen Station,Flower Mound,TX,75022,US
6/6/2021,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,4545,North Texas Pollen Station,Flower Mound,TX,75022,US
6/26/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2353,North Texas Pollen Station,Flower Mound,TX,75022,US
6/30/2022,,,,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2134,North Texas Pollen Station,Flower Mound,TX,75022,US
9/27/2023,,,246,,,,,,,,2,,,,,,,2,,,,,,,,,,,,,,,,,,82,,,7131,North Texas Pollen Station,Flower Mound,TX,75022,US
6/17/2021,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,1657,North Texas Pollen Station,Flower Mound,TX,75022,US
3/29/2022,,,,,,,2,,,63,,,24,6,,,136,6,,,11,89,,,,,89,,6,,,398,,,,63,,,2569,North Texas Pollen Station,Flower Mound,TX,75022,US
6/2/2022,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,1729,North Texas Pollen Station,Flower Mound,TX,75022,US
1/20/2023,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,9,,,1944,North Texas Pollen Station,Flower Mound,TX,75022,US
1/28/2022,,,,,,,,,,,4,,30,,,,,,,,,,,,,,,,,,,,,,,,,,2809,North Texas Pollen Station,Flower Mound,TX,75022,US
10/16/2022,,,97,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,13,,,2610,North Texas Pollen Station,Flower Mound,TX,75022,US
5/12/2021,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,2059,North Texas Pollen Station,Flower Mound,TX,75022,US
2/4/2023,,,,,,,,,,,,,51,,,,,,,,,,,,,,,,,,,,,,,13,,,2282,North Texas Pollen Station,Flower Mound,TX,75022,US
5/29/2022,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,1934,North Texas Pollen Station,Flower Mound,TX,75022,US
10/16/2023,,,39,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,15,,,2036,North Texas Pollen Station,Flower Mound,TX,75022,US
10/8/2021,,,212,,,,,,,,4,,9,,,,,4,,,,,,,,,,,,,,,,,,406,,,2059,North Texas Pollen Station,Flower Mound,TX,75022,US
6/23/2021,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,1189,North Texas Pollen Station,Flower Mound,TX,75022,US
7/5/2021,,,,,,,,,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,1772,North Texas Pollen Station,Flower Mound,TX,75022,US
4/30/2023,,,,,,,47,,17,,,,1,3,,,,5,4,,,,,,,,,,,,,6,7,,,,,,2643,North Texas Pollen Station,Flower Mound,TX,75022,US
9/8/2023,,,61,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,45,,,3955,North Texas Pollen Station,Flower Mound,TX,75022,US
8/14/2023,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1405,North Texas Pollen Station,Flower Mound,TX,75022,US
10/12/2022,,,173,,,,,,,,2,,,,,,,4,,,,,,,,,,,,,,,,,,39,,,2425,North Texas Pollen Station,Flower Mound,TX,75022,US
8/13/2021,,,2,,6,,,,,,6,,,2,,,,6,,,,,,,,,,,,,,,,,,,,,2155,North Texas Pollen Station,Flower Mound,TX,75022,US
5/1/2021,,,,,,,,,6,,,,,,,,,6,,,,9,,,,,,,,,,6,2,48,,,,,2598,North Texas Pollen Station,Flower Mound,TX,75022,US
8/12/2021,,,,,2,,,,,,4,,,,,,,6,,,,,,,,,,,,,,,,,,,,,2379,North Texas Pollen Station,Flower Mound,TX,75022,US
5/13/2021,,,,,,,,,,,,,,,,,,37,,,,17,,,,,,,,,,,2,,,,,,2187,North Texas Pollen Station,Flower Mound,TX,75022,US
7/5/2023,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,1904,North Texas Pollen Station,Flower Mound,TX,75022,US
6/25/2023,,,,,,4,,,,,,,,,,,,4,,,,,,,,,6,,,,,,,,,,,,2485,North Texas Pollen Station,Flower Mound,TX,75022,US
7/12/2023,,,,,,,,,,,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,2377,North Texas Pollen Station,Flower Mound,TX,75022,US
6/18/2022,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,2355,North Texas Pollen Station,Flower Mound,TX,75022,US
4/19/2021,,,,,,,,,2,9,,,,,,,17,9,4,,,11,,,,,2,,,,,149,,9,,,,,1951,North Texas Pollen Station,Flower Mound,TX,75022,US
9/4/2021,,,4,,,2,,,,,4,,,,,,,4,,,,,,,,,,,,,,,,,,,,,1454,North Texas Pollen Station,Flower Mound,TX,75022,US
6/30/2023,,,,,,,,,,,1,,,,,,,6,,,,,,,,,10,,,,,,,,,,,,4274,North Texas Pollen Station,Flower Mound,TX,75022,US
6/23/2023,,,,,,,,,,,2,,,,,,,2,,,,,,,,,18,,,,,,,,,,,,3023,North Texas Pollen Station,Flower Mound,TX,75022,US
3/3/2023,,,,,,,,,,2,,,71,,,,6,,,,,23,,,,,2,,,,,24,,,,15,,,1815,North Texas Pollen Station,Flower Mound,TX,75022,US
8/19/2022,,,2,,,,,,,,2,,,,,,,4,,,,,,,,,,,,,,,,,,,,,2161,North Texas Pollen Station,Flower Mound,TX,75022,US
10/20/2021,,,58,,,,,,,,2,,2,,,,,11,,,,,,,,,,,,,,,,,,52,,,1986,North Texas Pollen Station,Flower Mound,TX,75022,US
1/31/2022,,,,,,,,,,,,,268,,,,,,,,,,,,,,2,,,,,,,,,,,,1902,North Texas Pollen Station,Flower Mound,TX,75022,US
1/11/2023,,,,,,,,,,,,,1331,,,,,,,,,,,,,,,,,,,,,,,4,,,2403,North Texas Pollen Station,Flower Mound,TX,75022,US
8/26/2021,,,,,,,,,,,9,,,,,,,2,,,,,,,,,,,,,,,,,,4,,,2533,North Texas Pollen Station,Flower Mound,TX,75022,US
4/3/2022,,,,,,,,,,149,,,22,,,,173,2,,,11,581,,,,,99,,,2,,3838,4,,,,,,2126,North Texas Pollen Station,Flower Mound,TX,75022,US
2/12/2021,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,43,,,892,North Texas Pollen Station,Flower Mound,TX,75022,US
6/7/2021,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,2945,North Texas Pollen Station,Flower Mound,TX,75022,US
10/27/2022,,,6,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,1891,North Texas Pollen Station,Flower Mound,TX,75022,US
9/26/2022,,,205,,,,,,,,17,,,,,,,11,,,,,,,,,,,,,,,,,,56,,,1923,North Texas Pollen Station,Flower Mound,TX,75022,US
9/18/2021,,,242,,,,,,,,4,,,,,,,9,,,,,,,,,,,,,,,,,,30,,,1761,North Texas Pollen Station,Flower Mound,TX,75022,US
