Day,Month,Year,MAX,MIN,AVG,WTR,AVGSPD,MAXSPD,PollenCnt
6,5,2021,83.0,58.0,71.0,0.0,5.5,16.0,203
7,5,2021,87.0,59.0,73.0,0.0,11.0,23.0,301
8,5,2021,90.0,64.0,77.0,0.0,21.1,33.0,303
9,5,2021,84.0,63.0,74.0,0.0,17.0,31.0,260
10,5,2021,63.0,57.0,60.0,0.88,11.5,21.0,150
11,5,2021,62.0,57.0,60.0,0.81,10.7,23.0,0
12,5,2021,63.0,56.0,60.0,2.0,10.3,17.0,4
13,5,2021,76.0,61.0,69.0,0.0,6.0,13.0,56
14,5,2021,79.0,60.0,70.0,0.0,10.4,18.0,210
15,5,2021,84.0,62.0,73.0,0.0,12.6,23.0,95
16,5,2021,77.0,68.0,73.0,1.48,12.8,24.0,43
17,5,2021,81.0,66.0,74.0,0.61,10.1,29.0,8
18,5,2021,74.0,63.0,69.0,0.61,7.5,24.0,23
19,5,2021,82.0,64.0,73.0,2.0,6.5,17.0,19
20,5,2021,79.0,67.0,73.0,0.02,5.8,13.0,17
21,5,2021,86.0,70.0,78.0,2.0,11.2,21.0,19
22,5,2021,79.0,70.0,75.0,0.43,11.0,20.0,60
23,5,2021,77.0,68.0,73.0,0.02,7.6,16.0,13
24,5,2021,78.0,68.0,73.0,0.6,8.8,20.0,15
25,5,2021,83.0,67.0,75.0,0.48,9.2,20.0,8
26,5,2021,91.0,73.0,82.0,0.0,9.9,17.0,6
27,5,2021,91.0,74.0,83.0,2.0,16.2,33.0,45
28,5,2021,80.0,67.0,74.0,2.0,4.6,31.0,41
29,5,2021,85.0,66.0,76.0,0.0,8.9,15.0,65
30,5,2021,76.0,65.0,71.0,2.0,9.9,16.0,60
31,5,2021,74.0,66.0,70.0,1.7,8.4,22.0,48
1,6,2021,72.0,64.0,68.0,0.05,8.3,18.0,4
2,6,2021,83.0,60.0,72.0,2.0,5.1,12.0,30
3,6,2021,81.0,65.0,73.0,0.0,4.5,13.0,28
4,6,2021,81.0,67.0,74.0,0.0,6.3,14.0,17
5,6,2021,87.0,68.0,78.0,0.37,6.9,18.0,11
6,6,2021,88.0,67.0,78.0,0.0,6.5,17.0,11
7,6,2021,82.0,68.0,75.0,0.81,9.0,20.0,2
8,6,2021,89.0,73.0,81.0,2.0,10.8,20.0,6
9,6,2021,93.0,77.0,85.0,0.0,12.3,20.0,13
10,6,2021,92.0,77.0,85.0,0.0,12.1,18.0,13
11,6,2021,94.0,77.0,86.0,0.0,14.1,23.0,13
12,6,2021,92.0,72.0,82.0,2.0,7.8,31.0,17
13,6,2021,99.0,76.0,88.0,0.0,4.1,13.0,13
14,6,2021,99.0,81.0,90.0,0.0,6.4,16.0,11
15,6,2021,97.0,77.0,87.0,0.0,3.7,14.0,2
16,6,2021,98.0,76.0,87.0,0.0,3.87,10.0,2
17,6,2021,99.0,75.0,87.0,0.0,5.8,13.0,11
18,6,2021,95.0,78.0,87.0,0.0,8.2,14.0,26
19,6,2021,94.0,71.0,83.0,0.0,7.7,16.0,19
20,6,2021,96.0,77.0,87.0,0.0,14.6,22.0,13
21,6,2021,93.0,69.0,81.0,0.14,14.0,30.0,11
22,6,2021,86.0,66.0,76.0,0.0,9.0,15.0,2
23,6,2021,95.0,75.0,85.0,0.0,12.7,20.0,4
24,6,2021,95.0,78.0,87.0,0.0,15.8,22.0,8
25,6,2021,96.0,79.0,88.0,0.0,16.4,25.0,6
26,6,2021,95.0,78.0,87.0,0.0,16.4,25.0,27
27,6,2021,95.0,78.0,87.0,0.0,11.0,22.0,13
28,6,2021,89.0,74.0,82.0,0.63,6.8,31.0,8
29,6,2021,90.0,74.0,82.0,0.15,9.1,18.0,0
1,7,2021,96.0,76.0,86.0,0.01,7.3,38.0,2
2,7,2021,87.0,75.0,81.0,0.16,5.3,13.0,0
3,7,2021,86.0,77.0,82.0,2.0,8.4,17.0,8
4,7,2021,89.0,76.0,83.0,0.0,7.6,15.0,8
5,7,2021,90.0,74.0,82.0,2.0,9.9,22.0,4
6,7,2021,93.0,73.0,83.0,0.33,5.4,21.0,9
7,7,2021,94.0,74.0,84.0,0.0,4.1,15.0,0
8,7,2021,94.0,76.0,85.0,0.0,8.5,20.0,4
9,7,2021,87.0,74.0,81.0,2.0,12.9,30.0,6
10,7,2021,94.0,75.0,85.0,0.0,13.7,26.0,4
11,7,2021,92.0,79.0,81.0,0.49,9.2,29.0,8
12,7,2021,91.0,73.0,82.0,0.0,7.5,21.0,11
13,7,2021,93.0,72.0,83.0,0.0,10.5,23.0,4
14,7,2021,92.0,71.0,82.0,0.88,13.2,33.0,16
15,7,2021,93.0,75.0,84.0,0.0,14.9,22.0,30
16,7,2021,94.0,77.0,86.0,0.0,12.8,21.0,8
17,7,2021,93.0,78.0,86.0,0.0,12.8,20.0,6
18,7,2021,95.0,79.0,87.0,0.02,6.2,16.0,4
19,7,2021,86.0,74.0,80.0,0.21,5.5,23.0,0
20,7,2021,90.0,74.0,82.0,0.0,8.8,26.0,2
21,7,2021,92.0,72.0,82.0,0.0,5.9,13.0,6
22,7,2021,95.0,73.0,84.0,0.0,7.7,17.0,0
23,7,2021,96.0,76.0,86.0,0.0,13.9,21.0,8
24,7,2021,99.0,78.0,89.0,0.0,19.9,20.0,27
25,7,2021,100.0,77.0,89.0,0.0,10.0,10.0,6
26,7,2021,101.0,77.0,89.0,0.0,7.2,14.0,15
27,7,2021,102.0,81.0,92.0,0.29,6.4,29.0,6
28,7,2021,99.0,79.0,89.0,0.0,6.4,17.0,13
29,7,2021,98.0,77.0,88.0,0.0,4.7,13.0,2
30,7,2021,100.0,78.0,89.0,0.0,5.8,16.0,8
31,7,2021,100.0,81.0,91.0,0.0,8.4,17.0,2
1,8,2021,100.0,75.0,88.0,0.31,8.3,37.0,6
2,8,2021,89.0,73.0,81.0,1.71,9.0,22.0,2
3,8,2021,91.0,73.0,82.0,0.0,4.4,13.0,8
4,8,2021,90.0,75.0,83.0,0.0,5.4,13.0,0
5,8,2021,93.0,73.0,83.0,0.0,8.9,16.0,2
6,8,2021,94.0,74.0,84.0,0.0,10.9,20.0,4
7,8,2021,96.0,76.0,86.0,0.0,13.7,22.0,19
8,8,2021,97.0,79.0,88.0,0.0,17.5,26.0,23
9,8,2021,98.0,79.0,89.0,0.0,17.0,25.0,12
10,8,2021,97.0,78.0,88.0,0.0,16.3,25.0,12
11,8,2021,97.0,77.0,87.0,0.0,15.0,23.0,2
12,8,2021,98.0,79.0,89.0,0.0,12.2,20.0,12
13,8,2021,95.0,79.0,87.0,0.0,7.6,15.0,22
14,8,2021,91.0,71.0,81.0,1.01,6.5,45.0,6
15,8,2021,88.0,73.0,81.0,0.1,4.8,12.0,2
16,8,2021,93.0,75.0,84.0,0.0,4.7,17.0,0
17,8,2021,91.0,74.0,83.0,0.14,8.4,25.0,0
18,8,2021,82.0,73.0,78.0,1.33,7.6,18.0,4
19,8,2021,94.0,75.0,85.0,0.22,11.5,20.0,4
20,8,2021,96.0,78.0,87.0,0.0,13.9,23.0,2
21,8,2021,96.0,78.0,87.0,0.0,11.1,20.0,28
22,8,2021,97.0,79.0,88.0,0.0,9.0,15.0,315
23,8,2021,97.0,75.0,86.0,0.0,8.8,16.0,835
24,8,2021,97.0,76.0,87.0,0.0,9.2,15.0,162
25,8,2021,98.0,75.0,87.0,0.0,6.6,13.0,71
26,8,2021,98.0,80.0,89.0,0.0,5.5,14.0,15
27,8,2021,92.0,76.0,84.0,0.0,8.8,17.0,35
28,8,2021,93.0,75.0,84.0,0.0,7.4,16.0,30
29,8,2021,90.0,76.0,83.0,0.0,5.2,16.0,21
30,8,2021,96.0,76.0,86.0,0.0,6.3,13.0,59
31,8,2021,100.0,77.0,89.0,0.0,6.4,13.0,12
1,9,2021,99.0,79.0,89.0,0.0,8.2,16.0,27
2,9,2021,97.0,78.0,88.0,0.0,9.3,17.0,17
3,9,2021,96.0,79.0,88.0,0.0,11.1,16.0,56
4,9,2021,98.0,78.0,88.0,0.0,9.1,16.0,14
5,9,2021,90.0,79.0,85.0,0.09,8.7,17.0,68
6,9,2021,94.0,76.0,85.0,0.0,5.9,14.0,86
7,9,2021,96.0,68.0,82.0,0.0,5.3,13.0,42
8,9,2021,94.0,69.0,82.0,0.09,7.7,29.0,134
9,9,2021,92.0,66.0,79.0,0.0,7.4,13.0,177
10,9,2021,92.0,67.0,80.0,0.0,8.1,16.0,115
11,9,2021,91.0,67.0,79.0,0.0,7.3,14.0,51
12,9,2021,90.0,65.0,78.0,0.0,7.0,16.0,34
13,9,2021,88.0,71.0,80.0,2.0,8.0,17.0,38
14,9,2021,85.0,70.0,78.0,2.0,7.1,21.0,123
15,9,2021,91.0,68.0,80.0,0.0,7.2,17.0,155
16,9,2021,91.0,71.0,81.0,0.0,5.2,13.0,147
17,9,2021,92.0,71.0,82.0,0.0,4.7,14.0,129
18,9,2021,96.0,72.0,84.0,0.0,6.5,16.0,285
19,9,2021,94.0,73.0,84.0,0.0,5.3,17.0,137
20,9,2021,100.0,73.0,87.0,0.0,12.5,20.0,585
21,9,2021,88.0,68.0,78.0,0.01,15.5,26.0,905
22,9,2021,83.0,60.0,72.0,0.0,8.2,17.0,451
23,9,2021,85.0,56.0,71.0,0.0,3.2,9.0,367
24,9,2021,87.0,58.0,73.0,0.0,4.8,13.0,311
25,9,2021,91.0,60.0,76.0,0.0,4.8,12.0,325
26,9,2021,91.0,64.0,78.0,0.0,8.2,17.0,371
27,9,2021,88.0,65.0,77.0,0.0,8.6,16.0,1245
28,9,2021,93.0,68.0,81.0,2.0,8.3,20.0,2502
29,9,2021,90.0,69.0,80.0,0.0,9.9,20.0,3138
30,9,2021,89.0,69.0,79.0,0.06,9.4,28.0,1325
1,10,2021,78.0,67.0,73.0,0.5,4.5,17.0,399
2,10,2021,86.0,69.0,78.0,0.08,6.1,16.0,253
3,10,2021,87.0,64.0,76.0,0.0,5.7,17.0,284
4,10,2021,88.0,61.0,75.0,0.0,7.8,21.0,170
5,10,2021,87.0,61.0,74.0,0.0,8.0,14.0,106
6,10,2021,88.0,61.0,75.0,0.0,3.2,9.0,95
7,10,2021,92.0,62.0,77.0,0.0,7.7,17.0,330
8,10,2021,93.0,69.0,81.0,0.0,14.4,24.0,635
9,10,2021,92.0,68.0,80.0,0.0,14.5,23.0,426
10,10,2021,92.0,63.0,78.0,0.77,19.0,47.0,269
11,10,2021,83.0,62.0,73.0,0.0,6.3,20.0,192
12,10,2021,84.0,62.0,73.0,2.0,12.6,25.0,175
13,10,2021,88.0,65.0,77.0,0.85,14.3,29.0,250
14,10,2021,83.0,67.0,75.0,0.01,6.6,23.0,6
15,10,2021,76.0,57.0,67.0,0.0,13.1,26.0,123
16,10,2021,74.0,51.0,63.0,0.0,7.7,16.0,61
17,10,2021,74.0,47.0,61.0,0.0,3.9,10.0,108
18,10,2021,76.0,51.0,64.0,0.0,6.9,18.0,99
19,10,2021,81.0,59.0,70.0,0.0,11.6,22.0,201
20,10,2021,83.0,67.0,75.0,0.0,9.5,20.0,125
21,10,2021,84.0,64.0,74.0,0.0,7.4,14.0,298
22,10,2021,85.0,58.0,72.0,0.0,7.0,14.0,78
23,10,2021,86.0,67.0,77.0,0.0,15.0,25.0,123
24,10,2021,86.0,68.0,77.0,0.0,15.1,26.0,113
25,10,2021,87.0,62.0,75.0,0.0,5.9,13.0,189
26,10,2021,87.0,67.0,77.0,0.0,14.8,30.0,376
27,10,2021,78.0,60.0,69.0,0.75,13.8,33.0,99
28,10,2021,73.0,59.0,66.0,0.0,24.2,43.0,70
29,10,2021,72.0,52.0,62.0,0.0,19.9,35.0,25
30,10,2021,75.0,45.0,60.0,0.0,4.3,10.0,6
31,10,2021,80.0,50.0,65.0,0.0,6.6,14.0,21
1,11,2021,80.0,53.0,67.0,0.0,6.8,16.0,4
2,11,2021,61.0,49.0,55.0,0.39,10.3,18.0,6
3,11,2021,50.0,46.0,48.0,0.84,11.1,20.0,0
4,11,2021,59.0,45.0,52.0,0.0,5.1,30.0,0
5,11,2021,61.0,41.0,51.0,0.0,4.2,10.0,0
6,11,2021,67.0,42.0,55.0,0.0,4.8,10.0,4
7,11,2021,75.0,45.0,60.0,0.0,8.7,15.0,6
8,11,2021,73.0,50.0,62.0,0.0,10.6,20.0,10
9,11,2021,76.0,58.0,67.0,0.0,10.6,21.0,10
10,11,2021,78.0,56.0,67.0,1.27,13.7,33.0,10
11,11,2021,67.0,47.0,57.0,0.0,10.2,26.0,15
12,11,2021,69.0,44.0,57.0,0.0,10.6,25.0,64
13,11,2021,64.0,39.0,52.0,0.0,6.5,14.0,10
14,11,2021,70.0,45.0,58.0,0.0,4.9,15.0,90
15,11,2021,81.0,47.0,64.0,0.0,6.4,16.0,58
16,11,2021,80.0,61.0,71.0,0.0,19.4,29.0,32
17,11,2021,83.0,55.0,69.0,0.0,18.4,28.0,35
18,11,2021,62.0,44.0,53.0,0.0,7.0,28.0,51
19,11,2021,62.0,40.0,51.0,0.0,6.6,16.0,2
20,11,2021,72.0,45.0,59.0,0.0,12.8,26.0,4
21,11,2021,69.0,51.0,60.0,0.0,13.8,23.0,15
22,11,2021,67.0,42.0,55.0,0.0,6.8,10.0,4
23,11,2021,71.0,43.0,57.0,0.0,12.4,22.0,6
24,11,2021,77.0,53.0,65.0,0.0,13.2,33.0,8
25,11,2021,65.0,42.0,54.0,0.0,15.5,28.0,6
26,11,2021,57.0,35.0,46.0,0.0,6.4,12.0,0
27,11,2021,59.0,42.0,51.0,0.61,7.2,14.0,6
28,11,2021,66.0,45.0,56.0,0.0,7.6,20.0,8
29,11,2021,74.0,38.0,56.0,0.0,7.8,15.0,4
30,11,2021,78.0,45.0,62.0,0.0,8.8,17.0,4
1,12,2021,75.0,51.0,63.0,0.0,6.4,15.0,17
2,12,2021,81.0,45.0,63.0,0.0,5.8,14.0,11
3,12,2021,74.0,57.0,66.0,0.0,9.2,20.0,4
4,12,2021,75.0,59.0,67.0,0.0,7.8,18.0,4
5,12,2021,78.0,57.0,68.0,0.0,11.0,25.0,23
6,12,2021,68.0,40.0,54.0,0.0,17.4,35.0,10
7,12,2021,59.0,35.0,47.0,0.0,4.8,15.0,4
8,12,2021,59.0,41.0,50.0,0.0,5.9,13.0,2
9,12,2021,81.0,59.0,70.0,0.0,13.5,22.0,13
10,12,2021,83.0,65.0,74.0,0.0,14.0,23.0,63
11,12,2021,74.0,37.0,56.0,0.0,12.7,36.0,47
12,12,2021,60.0,32.0,46.0,0.0,8.2,18.0,8
13,12,2021,70.0,40.0,55.0,0.02,9.9,18.0,6
14,12,2021,76.0,56.0,66.0,2.0,11.9,23.0,6
15,12,2021,80.0,67.0,74.0,2.0,22.3,37.0,67
16,12,2021,76.0,60.0,68.0,0.0,10.5,23.0,421
17,12,2021,78.0,60.0,69.0,2.0,12.4,29.0,194
18,12,2021,71.0,39.0,55.0,0.16,19.4,31.0,223
19,12,2021,48.0,34.0,41.0,0.0,7.8,17.0,0
20,12,2021,54.0,39.0,47.0,0.1,4.8,10.0,2
21,12,2021,63.0,35.0,49.0,0.0,5.6,15.0,11
22,12,2021,66.0,42.0,54.0,0.0,6.7,14.0,97
23,12,2021,76.0,52.0,64.0,0.0,16.1,28.0,1461
24,12,2021,82.0,60.0,71.0,0.0,19.3,29.0,3220
25,12,2021,82.0,58.0,70.0,0.0,8.9,22.0,3012
26,12,2021,79.0,57.0,68.0,0.0,13.6,25.0,728
27,12,2021,80.0,62.0,71.0,0.0,10.6,20.0,2507
28,12,2021,81.0,57.0,69.0,0.0,11.6,29.0,4264
29,12,2021,74.0,54.0,64.0,0.15,6.0,25.0,748
30,12,2021,75.0,48.0,62.0,2.0,5.8,14.0,348
31,12,2021,72.0,52.0,62.0,2.0,6.9,16.0,1891
1,1,2022,73.0,23.0,48.0,0.05,12.7,38.0,389
2,1,2022,40.0,19.0,30.0,0.0,16.8,31.0,4
3,1,2022,55.0,24.0,40.0,0.0,7.4,14.0,17
4,1,2022,65.0,34.0,50.0,0.0,13.5,28.0,916
5,1,2022,62.0,38.0,50.0,0.0,9.7,18.0,398
6,1,2022,42.0,28.0,35.0,0.0,13.8,28.0,28
7,1,2022,49.0,21.0,35.0,0.0,9.3,18.0,39
8,1,2022,64.0,47.0,56.0,0.03,11.5,23.0,24
9,1,2022,62.0,41.0,52.0,0.2,16.5,28.0,56
10,1,2022,56.0,32.0,44.0,0.0,7.7,22.0,11
11,1,2022,62.0,29.0,46.0,0.0,8.7,16.0,9
12,1,2022,64.0,36.0,50.0,0.0,7.5,15.0,41
13,1,2022,76.0,37.0,57.0,0.0,5.4,14.0,71
14,1,2022,79.0,39.0,59.0,0.0,11.0,39.0,648
15,1,2022,51.0,32.0,42.0,0.2,25.5,40.0,365
16,1,2022,54.0,28.0,41.0,0.0,7.7,21.0,0
17,1,2022,65.0,31.0,48.0,0.0,5.8,14.0,24
18,1,2022,75.0,45.0,60.0,0.0,17.7,29.0,145
19,1,2022,62.0,34.0,48.0,0.2,17.4,32.0,910
20,1,2022,38.0,24.0,31.0,0.0,19.1,30.0,54
21,1,2022,44.0,20.0,32.0,0.0,6.0,15.0,30
22,1,2022,51.0,26.0,39.0,0.0,2.9,9.0,11
23,1,2022,66.0,28.0,47.0,0.0,7.9,14.0,4
24,1,2022,59.0,39.0,49.0,0.2,7.1,16.0,58
25,1,2022,60.0,37.0,49.0,0.0,11.0,21.0,11
26,1,2022,50.0,27.0,39.0,0.2,6.4,18.0,9
27,1,2022,51.0,37.0,44.0,0.2,6.4,17.0,9
28,1,2022,57.0,31.0,44.0,0.0,11.3,23.0,34
29,1,2022,68.0,30.0,49.0,0.0,8.1,20.0,30
30,1,2022,71.0,35.0,53.0,0.0,9.1,15.0,207
31,1,2022,69.0,46.0,58.0,0.0,10.6,22.0,270
1,2,2022,73.0,55.0,64.0,0.0,10.5,21.0,110
2,2,2022,59.0,31.0,45.0,1.1,15.6,26.0,231
3,2,2022,31.0,20.0,26.0,0.29,18.8,26.0,15
4,2,2022,35.0,20.0,28.0,0.0,14.4,23.0,4
5,2,2022,47.0,19.0,33.0,0.0,6.8,16.0,6
6,2,2022,56.0,27.0,42.0,0.0,7.2,16.0,2
7,2,2022,59.0,33.0,46.0,0.0,9.2,21.0,4
8,2,2022,68.0,32.0,50.0,0.0,11.2,21.0,60
9,2,2022,70.0,35.0,53.0,0.0,5.9,15.0,259
10,2,2022,73.0,37.0,55.0,0.0,5.7,13.0,106
11,2,2022,78.0,41.0,60.0,0.0,12.1,24.0,3831
12,2,2022,56.0,33.0,45.0,0.2,16.9,33.0,1150
13,2,2022,66.0,29.0,48.0,0.0,6.7,18.0,26
14,2,2022,73.0,35.0,54.0,0.0,10.1,21.0,292
15,2,2022,72.0,42.0,57.0,0.0,19.3,35.0,711
16,2,2022,68.0,61.0,65.0,0.2,19.9,33.0,519
17,2,2022,68.0,32.0,50.0,0.08,21.1,33.0,263
18,2,2022,54.0,26.0,40.0,0.0,5.7,20.0,56
19,2,2022,66.0,32.0,49.0,0.0,5.8,16.0,39
20,2,2022,68.0,39.0,54.0,0.0,15.1,26.0,501
21,2,2022,85.0,56.0,71.0,0.02,15.5,31.0,1472
22,2,2022,71.0,32.0,52.0,0.44,16.1,29.0,814
23,2,2022,33.0,23.0,28.0,0.08,16.0,24.0,265
24,2,2022,30.0,22.0,26.0,0.01,12.4,22.0,17
25,2,2022,38.0,23.0,31.0,0.0,13.3,24.0,28
